filename,section|field|value
form_1.pdf,header|אל קופ״ח/בי״ח|צפרירים
form_1.pdf,header|תאריך מילוי הטופס|2  5  0  4  2  0  2  3
form_1.pdf,header|תאריך קבלת הטופס בקופה|1  1  0  9  2  0  2  3
form_1.pdf,section1|תאריך הפגיעה|0  2  0  3  2  0  2  3
form_1.pdf,section2|שם משפחה|מאיר
form_1.pdf,section2|שם פרטי|ארבל
form_1.pdf,section2|ת.ז|8  0  7  2  5  8  1  6  3  2
form_1.pdf,section2|תאריך לידה|2 1 0 3 2 0 2 3
form_1.pdf,section2|רחוב|נחל פארן
form_1.pdf,section2|מס' בית|126
form_1.pdf,section2|כניסה|3
form_1.pdf,section2|דירה|26
form_1.pdf,section2|יישוב|מזכרת בתיה
form_1.pdf,section2|מיקוד|281333
form_1.pdf,section2|טלפון קווי|0  5  4  7  3  8  8  3  3  3
form_1.pdf,section2|טלפון נייד|0  5  4  8  5  8  7  8  6  6
form_1.pdf,section3|בתאריך|20.12.2023
form_1.pdf,section3|בשעה|17:49
form_1.pdf,section3|כאשר עבדתי ב|מחסן
form_1.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על רצפה רטובה בעת תפקיד.
form_1.pdf,section3|האיבר שנפגע|רגל ימין
form_1.pdf,section4|שם המבקש|נדב אסרף
form_1.pdf,section4|חתימה|
form_1.pdf,section5|אבחנה רפואית 1|3  4  2  0
form_1.pdf,section5|אבחנה רפואית 2|3  9  3  1
form_1.pdf,section2|מין/זכר|V
form_1.pdf,section2|מין/נקבה|
form_1.pdf,section3|מקום התאונה/מפעל|
form_1.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_1.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|V
form_1.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_1.pdf,section3|מקום התאונה/אחר|
form_1.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_1.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_1.pdf,section5|קופת חולים/כללית|
form_1.pdf,section5|קופת חולים/מאוחדת|
form_1.pdf,section5|קופת חולים/מכבי|
form_1.pdf,section5|קופת חולים/לאומית|V
form_2.pdf,header|אל קופ״ח/בי״ח|לוזית
form_2.pdf,header|תאריך מילוי הטופס|1  9  0  7  2  0  2  3
form_2.pdf,header|תאריך קבלת הטופס בקופה|0  4  0  3  2  0  2  3
form_2.pdf,section1|תאריך הפגיעה|2  2  1  2  2  0  2  3
form_2.pdf,section2|שם משפחה|זועבי
form_2.pdf,section2|שם פרטי|גלי
form_2.pdf,section2|ת.ז|2  9  2  4  5  3  9  6  8  7
form_2.pdf,section2|תאריך לידה|2 0 0 1 2 0 2 3
form_2.pdf,section2|רחוב|רח 1043
form_2.pdf,section2|מס' בית|17
form_2.pdf,section2|כניסה|3
form_2.pdf,section2|דירה|33
form_2.pdf,section2|יישוב|כפר הנוער הדתי
form_2.pdf,section2|מיקוד|678033
form_2.pdf,section2|טלפון קווי|0  5  4  7  2  5  4  9  4  4
form_2.pdf,section2|טלפון נייד|0  5  4  7  0  2  1  6  0  0
form_2.pdf,section3|בתאריך|22.06.2023
form_2.pdf,section3|בשעה|17:13
form_2.pdf,section3|כאשר עבדתי ב|משרד
form_2.pdf,section3|נסיבות הפגיעה / תיאור התאונה|החלקה על רצפה רטובה במהלך העבודה.
form_2.pdf,section3|האיבר שנפגע|רגל שמאל
form_2.pdf,section4|שם המבקש|דניאל פישר
form_2.pdf,section4|חתימה|
form_2.pdf,section5|אבחנה רפואית 1|2  5  3  8
form_2.pdf,section5|אבחנה רפואית 2|9  4  4  7
form_2.pdf,section2|מין/זכר|
form_2.pdf,section2|מין/נקבה|V
form_2.pdf,section3|מקום התאונה/מפעל|
form_2.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_2.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_2.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_2.pdf,section3|מקום התאונה/אחר|
form_2.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_2.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_2.pdf,section5|קופת חולים/כללית|
form_2.pdf,section5|קופת חולים/מאוחדת|V
form_2.pdf,section5|קופת חולים/מכבי|
form_2.pdf,section5|קופת חולים/לאומית|
form_3.pdf,header|אל קופ״ח/בי״ח|צפרירים
form_3.pdf,header|תאריך מילוי הטופס|1  3  0  9  2  0  2  3
form_3.pdf,header|תאריך קבלת הטופס בקופה|0  4  0  6  2  0  2  3
form_3.pdf,section1|תאריך הפגיעה|2  4  0  5  2  0  2  3
form_3.pdf,section2|שם משפחה|אוחנה
form_3.pdf,section2|שם פרטי|ג'נא
form_3.pdf,section2|ת.ז|5  7  5  9  1  7  6  7  8  8
form_3.pdf,section2|תאריך לידה|1 4 1 2 2 0 2 3
form_3.pdf,section2|רחוב|דרב אלברג'
form_3.pdf,section2|מס' בית|104
form_3.pdf,section2|כניסה|3
form_3.pdf,section2|דירה|39
form_3.pdf,section2|יישוב|מגן
form_3.pdf,section2|מיקוד|567511
form_3.pdf,section2|טלפון קווי|0  5  4  9  3  1  4  6  9  3
form_3.pdf,section2|טלפון נייד|0  5  4  0  3  0  2  7  9  7
form_3.pdf,section3|בתאריך|20.03.2023
form_3.pdf,section3|בשעה|18:30
form_3.pdf,section3|כאשר עבדתי ב|משרד
form_3.pdf,section3|נסיבות הפגיעה / תיאור התאונה|איבוד שיווי משקל על מדרגה חלקלקה בעת ביצוע מטלה.
form_3.pdf,section3|האיבר שנפגע|יד ימין
form_3.pdf,section4|שם המבקש|תמר עיסא
form_3.pdf,section4|חתימה|signed
form_3.pdf,section5|אבחנה רפואית 1|3  4  2  8
form_3.pdf,section5|אבחנה רפואית 2|9  4  2  4
form_3.pdf,section2|מין/זכר|
form_3.pdf,section2|מין/נקבה|V
form_3.pdf,section3|מקום התאונה/מפעל|
form_3.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_3.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_3.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_3.pdf,section3|מקום התאונה/אחר|V
form_3.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_3.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_3.pdf,section5|קופת חולים/כללית|V
form_3.pdf,section5|קופת חולים/מאוחדת|
form_3.pdf,section5|קופת חולים/מכבי|
form_3.pdf,section5|קופת חולים/לאומית|
form_4.pdf,header|אל קופ״ח/בי״ח|גן שורק
form_4.pdf,header|תאריך מילוי הטופס|2  8  0  1  2  0  2  3
form_4.pdf,header|תאריך קבלת הטופס בקופה|0  8  0  5  2  0  2  3
form_4.pdf,section1|תאריך הפגיעה|0  4  0  7  2  0  2  3
form_4.pdf,section2|שם משפחה|יוסף
form_4.pdf,section2|שם פרטי|אודל
form_4.pdf,section2|ת.ז|3  9  3  4  9  7  2  9  6  2
form_4.pdf,section2|תאריך לידה|0 1 1 2 2 0 2 3
form_4.pdf,section2|רחוב|נחלת צדוק
form_4.pdf,section2|מס' בית|123
form_4.pdf,section2|כניסה|1
form_4.pdf,section2|דירה|13
form_4.pdf,section2|יישוב|מירון
form_4.pdf,section2|מיקוד|975132
form_4.pdf,section2|טלפון קווי|0  5  4  7  8  4  7  3  6  6
form_4.pdf,section2|טלפון נייד|0  5  4  7  1  0  4  0  7  4
form_4.pdf,section3|בתאריך|28.06.2023
form_4.pdf,section3|בשעה|09:14
form_4.pdf,section3|כאשר עבדתי ב|מחסן
form_4.pdf,section3|נסיבות הפגיעה / תיאור התאונה|איבוד שיווי משקל על רצפה רטובה בעת תפקיד.
form_4.pdf,section3|האיבר שנפגע|גב
form_4.pdf,section4|שם המבקש|שלום אלסייד
form_4.pdf,section4|חתימה|
form_4.pdf,section5|אבחנה רפואית 1|3  1  3  1
form_4.pdf,section5|אבחנה רפואית 2|8  3  7  9
form_4.pdf,section2|מין/זכר|
form_4.pdf,section2|מין/נקבה|V
form_4.pdf,section3|מקום התאונה/מפעל|
form_4.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_4.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_4.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|V
form_4.pdf,section3|מקום התאונה/אחר|
form_4.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_4.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_4.pdf,section5|קופת חולים/כללית|
form_4.pdf,section5|קופת חולים/מאוחדת|
form_4.pdf,section5|קופת חולים/מכבי|V
